Sentence,Word,Meaning,Source
"وثبت أن هذه الشركات تستخدم -على الأقل- أخطر ثمانية معادن على حياة الإنسان، وهي: الزرنيخ، والكادميوم، والرصاص، والزئبق، والنيكل، والبريليوم، والسيلينيوم، والثاليوم، وهي مواد محظور استخدامها في مستحضرات التجميل إلا وفق حدود مشروعة، وتصنف ""مواد سامة"" في كندا، لكنها تأتي مع المنتجات المستوردة من أميركا. ",رصاص,عنصر فلزي لين يقاوم التآكل ويُستخدَم في صنع أقطاب بطاريات لسيارات,aljazeera
رمى المتمون من حجاج بيت الله الحرام جمرات يوم التشريق الثالث بمشعر منى في جو انسيابي موزعين على جسر الجمرات بطوابقه الخمسة.,رمى,أَلْقاه,aljazeera
رمَى بحبله على غاربه,رمى,تركه و خلاه,almaany
مَنْ رَمَى أَخَاهُ بِذَنْبٍ قَدْ تَابَ إِلَى اللَّهِ جَلَّ وَعَزَّ مِنْهُ لَمْ يَمُتْ حَتَّى يَبْتَلِيَهُ اللَّهُ بِهِ,رمى,اتهمه,almaany
"في النظرية الرياضياتية للعمليات العشوائية, يكون الزمن المحلي (بالإنجليزية: local time)‏ هو عبارة عن خاصية لعملية الانتشار مثل الحركة البراونية التي تميز الزمن التي تقضيها الجسيم عند مستوى معين.",زمن,توقيت,wikipedia
"سابقت أوروبا والصين واليابان ودول أخرى الزمن لإجلاء رعاياها من العاصمة السودانية الخرطوم، الإثنين 24 أبريل/نيسان 2023، فيما حذَّر الأمين العام للأمم المتحدة، أنطونيو غوتيريش، من خطر ""تصاعد كارثي للحرب"" ينذر بتداعيات أوسع، وحث القوى الدولية على ممارسة أقصى قدر من الضغوط من أجل السلام. ",زمن,وقت قصير أو طويل، زمان.,arabic post
إنّ متابعة خطاب منظّمة «حزب الله» من الناحية الدستورية، باتت ذات أهميّة قصوى لاستشراف خارطة الطريق التي تعمل وفقها هذه المنظمة. فبنهاية المطاف، هذا المسار الدؤوب من العمل الذي دخل عقده الرابع قد أينع وحان زمن القطاف.,زمن,مَوسِم,nidaa alwatan
في كثير من الأحيان، عندما يبدأ الزوج في تجاهل زوجته، تبدأ هي الأخرى في التعامل الصامت ولا تتكلم إلا ما ندر. ولكن هذا ليس حلا، عليك أن تكوني الشخص الذي يتخذ الخطوة الأولى من خلال التواصل ومواجهة المشكلة والتوصل إلى حل معا.,زوج,رجل المرأة أو امرأة الرجل,aljazeera
شكّل القرويون لجنة صغيرة وأجروا مسحاً في جميع منازل القرية، وسجلوا عدد حدوث ولادة التوائم في قريتهم، وللدهشة كان هناك حوالي 280 زوجاً من التوائم في ذلك الوقت,زوج,اثنان من النوع نفسه,arabic post
قررت السلطات المصرية إحالة إمام مسجد زوّج 27 فتاة قاصر لمحاكمة عاجلة.,زوج,أنكحه إيّاها,aljomhouria
يسكر دون خمر حير مواطن بريطاني في الحادية والستين من عمره الأطباء، فهو يعاني حالة نادرة تنتاب فيها الإنسان حالة من السكر من دون ان يكون قد تناول مشروبات كحولية،,سكر,سَكِرَ فلانٌ: غاب عقله وإدراكه,alqabas
شرب في أوقات غير مناسبة، والسلوك الناجم عن انخفاض الحكم، يمكن أن يؤدي إلى عواقب قانونية، مثل توجيه اتهامات جنائية لفي حالة سكر القيادة أو الإخلال بالنظام العام، أو عقوبات مدنية للسلوك التقصيرية، ويمكن أن يؤدي إلى عقوبة جنائية.,سكر,غياب العقل,Reverso Dictionary
يتوفر سكر ستيفيا على شكل أقراص أو بودرة، والذي يمكن إضافتهما إلى جميع أنواع المشروبات والأطعمة,سكر,مادةٌ حلوةٌ,Altibbi
ولتقليل مخاطر اصطدام الطائرات بسحب الرماد لبراكين كامتشاتكان ، تم إنشاء مشروع KVERT الدولي ، الذي يقدم خدمة الإنذار المبكر للطائرات بشأن الخطر البركاني، إذ يقوم العلماء بتحليل بيانات الرصد وصور الأقمار الصناعية والبيانات المرئية للبركان، ويتم إرسال المعلومات والتنبيهات للمعنيين، مما سمح بإخطار الخدمات الجوية في الوقت المناسب وتجنب المخاطر المحتملة على الطائرات.,سمح,أجاز وأتاح,arabia weather
كن سمحًا إنْ آذاك أحدهم فلا تحاول إيذاءه، ولا تسعَ إلى الانتقام؛ إنَّ محاولة الانتقام ستكلِّفك الكثير، ستجعلك تعاني وأنت في غنى عن ذلك!,سمح,رَحْب الصدر‏، متساهل,alukah
يعدّ نبات السمح (الاسم العلمي: Mesembryanthemum) نباتاً عشبياً أخضر اللون، وله عصارة، وسيقان، وأوراق طويلة، وأزهار بيضاء.,سمح,نبات السمح,Altibbi
الأمير السمح.. مصاب الإنسانية كلها وليس الكويت وحدها...,سمح,عطّاء، كريم.,lexicon.alsharekh
"أوضحت بوابة التقنيات ""تيك ستيدج. دي"" الألمانية أن موديلات ""آيفون 12"" الجديدة من ""آبل"" (Apple) تأتي مزودة بكابل له طرفان، أحدهما ""يو إس بي-سي"" (USB-C)، والآخر ""لايتننغ"" (Lightning)، مشيرة إلى أنه ليست هناك ضرورة لشراء شاحن جديد طالما أن هناك شاحنا مزودا بمنفذ ""يو إس بي-سي"" لدى المستخدم",شاحن,جهاز لشَحْن البطّاريّة,aljazeera
غير أنه تجدر الإشارة إلى أنه لا يمكن إجبار أي شاحن على قبول عقد حجمي.,شاحن,شَاحِنُ البَضَائِعِ : مَنْ يَشْحَنُهَا,Reverso Dictionary
شَاحَنَ زيدٌ سعدا,شاحن,باغَضَهُ وعاداهُ ونافسه في الكسب,Qamus lmour
الإسماعيلي يشرط على محمد عواد الاعتذار لجماهير الإسماعيلي إن أراد العودة للدراويش...,شرط, اشترطه عليه وألزمه إيَّاه,lexicon.alsharekh
ان الحرية شرط أساسي لتحقق الوجود الإنساني ولا يمكن تصور ذلك الوجود خارجها. فالإنسان لا يكون إنسانا إلا باعتباره كائنا حرا,شرط,ما لا يتم الشيءُ إلا به ، ولا يكون داخلاً في حقيقته.,aljazeera
"تشمل الجوانب الأخرى من الإصلاح تسهيل إثبات إجادة اللغة الألمانية لفئات معينة من الأجانب، وإلغاء شرط اختبار التجنيس لمن بلغوا 67 عاما، وهي خطوة تتعلق بمن يعرفون باسم ""العمال الضيوف"" الذين وصلوا إلى ألمانيا في خمسينيات القرن الماضي ولم يتم منحهم دورات في اللغة أو الاندماج على الإطلاق، على افتراض أنهم سيعودون في ما بعد إلى بلدانهم الأصلية، وينحدر معظمهم من تركيا.",شرط,ما يوضع ليُلتزَم به في بيع أو نحوه.,aljazeera
"وقال المعهد الفلكي، في بيان له: إن "" الهزة الأرضية التي شعر بها سكان مدينة الغردقة حدثت في تمام الساعة 01:58 صباحًا بالتوقيت المحلي"".",شعر, أحَسَّ به وعَلِمَ,arabia weather
يمكن استخدام ChatGPT لإنشاء محادثات آلية متقدمة، أو لإنشاء محتوى نصي متنوع، مثل مقالات أو قصص أو حتى شعر.,شعر, كلام موزون مُقفَّى قصدًا,arabia weather
يعتبر استخدام الخيط من الطرق القديمة والفعالة لإزالة الشعر غير المرغوب به في الأماكن الصغيرة، مثل الحاجبين أو الشفة العليا,شعر,هي الشَّعَرة الرقيقة الناشئة من بصيلة الشَّعر، وهي تعتبر جزءاً من الجلد,Altibbi
رغبت جوزفين بقوة في أن تحصل النساء على ذلك الاختراع في مطابخهن لتخفيف العبء والمهام الشاقة المتعلقة بغسل الصحون وأدوات المائدة.,صحن,إناء من أواني الطَّعام,aljazeera
أثير في المملكة العربية السعودية جدل بشأن صلاة النساء في صحن الكعبة المشرفة بالمسجد الحرام في مكة المكرمة حيث يختلط النساء والرجال أثناء الصلاة والطواف.,صحن,ساحة وسط المسجد صَحْن الدَّار,aljazeera
يعد الطبق أو الصحن اللاقط المستخدم في التقاط إشارات الأقمار الاصطناعية أبسط أنواع التلسكوبات الراديوية، فهو يلتقط إشارات غير مرئية من الفضاء ويحوّلها إلى معلومات وصور وأصوات، وهذا هو المبدأ الذي يقوم عليه التلسكوب الراديوي.,صحن,الوعاء العميق والمسطح الذي يستخدم كمجمع للإشارة الكهرومغناطيسية المرسلة من الفضاء الخارجي أو من الأقمار الصناعية أو الأجسام السماوية الأخرى,aljazeera
قد تم تصنيف صوت هذا الطائر على أنه أكثر صوت صاخب في العالم، والذي يستعمله بشكل خاص من أجل جذب الإناث إليه بهدف الزواج.,صوت,كل ما يُسمع‏.,arabic post
البرلمان التونسي الجديد ينتخب إبراهيم بودربالة رئيساً له.. فاز في جولة تصويت ثانية بـ83 صوتاً من أصل 150,صوت,رأي وقرار.,arabic post
"قالت الوزارة إن ""مجلس حقوق الإنسان صوت لصالح اعتماد قرارين حول حق الشعب الفلسطيني في تقرير مصيره، وعدم شرعية المستوطنات الإسرائيلية في الأراضي الفلسطينية المحتلة"". ",صوت,أيَّده بإعطائه صوته في الانتخاب.,arabic post
نقلت الشبكة عن مصادر مطلعة قولها إن معاوني بايدن يبحثون عن مستندات أخرى قد تكون في مواقع أخرى بعد ضبط أوراق سرية في نوفمبر/تشرين الثاني في مركز أبحاث بواشنطن.,ضبط,حَجْزها ومصادرتها.,aljazeera
أعلنت السلطات الأميركية أنها ضبطت نحو 16 طنا من الكوكايين تقدر قيمتها بأكثر من مليار دولار في مداهمة لسفينة راسية في أحد موانئ فيلادلفيا.,ضبط,حجَزَه وصادَرَه,aljazeera
واستنادًا على ما سبق فإن حماس ستكون حريصة أيضًا على بقاء التهدئة مع إسرائيل، والتي توصلت إليها حماس برعاية مصرية بعد عملية ‘‘الجرف الصامد‘‘، وذلك من خلال الالتزام بأعلى درجات ضبط النفس، حتى لا يؤثر التصعيد العسكري على جهود الانفراج في العلاقات بين الجانبين.,ضبط,كَبْحها والسيطرة عليها,acpss ahram
"وفقا لقانون الجنايات المصري فإنه ""يحق للنائب العام أن يصدر قرارات بضبط وإحضار كل من يشتبه في أنه عمل تخريبي أو إهدار دم"" ومن حقه أيضا اتخاذ الإجراءات والقرارات للحفاظ على الأمن وتكليف الجهات الأمنية بالقبض على كل من يخل بأمن وأمان البلاد.",ضبط,القَبْض عليه.,aljazeera
"وفقا لما جاء في موقع ""بارنتنغ ساينس"" (Parentingscience)، فقد عُرّف ضبط النفس بطرق عدة، مثل قوة الإرادة، والانضباط الذاتي، أو الضمير، ولكن الأهم من يضبط نفسه لديه القدرة على تنظيم النفس.",ضبط,كَبَحَها وسيطر عليها‏.,aljazeera
قال نادي السيارات الألماني (ADAC) إن ضبط‬ ‫مقعد السيارة بصورة صحيحة يجنب السائق آلام الظهر، بينما وضع المقعد‬ بشكل خاطئ يعيق قدرة الاستجابة في حالات‬ ‫الطوارئ.‬,ضبط,تعديل,aljazeera
"تبرز القدرة على ضبط الحدود اليمنية ومنع وصول السلاح إلى جماعة الحوثي، كأكبر تحد لقوى التحالف العربي بعد إعلانها انتهاء عملية ""عاصفة الحزم""، وتأكيدها زوال أي تهديد على السعودية والدول المجاورة، وتدشين مرحلة جديدة من الحرب ضد الحوثيين.",ضبط,الإجراءات التي يتخذها مجتمع ما لرقابة سلوك الأفراد فيه,aljazeera
الدكتور الشيخ سليمان ربيع (1911-1988) هو بلا جدال أبرز العلماء العاملين في مجال الخدمات العامة والاجتماعية، فقد أنجز وحده ما عجزت مؤسسات كاملة عن إنجازه، وضرب المثل الأعلى لنشاط العلماء العاملين في المجتمع في عصر الشمولية، فتمكن من قيادة جمعية الخلفاء الراشدين التي أسسها، واستطاع من خلالها إنشاء 15 مسجدا متميزا في حي مصر الجديدة تمثل بكل وضوح فكرة المسجد الجامع ذي المعمار الفائق الأصيل والحديقة المحيطة المهندسة والمئذنة المتميزة، والمحاط بعد هذا كله بمؤسسات الخدمة الاجتماعية، مع التعبير الواضح والذكي عن جماليات العمارة الإسلامية، وروعة البناء المخلص، واختيار الموقع المؤثر.,ضرب,بيَّنَه، أو ذَكَرَه للاعتبار,aljazeera
وذكرت دراسة نشرتها صحيفة ديلي تلغراف البريطانية الأحد أن الطفل إذا تعرض للضرب غير المبرح والتأنيب حتى سن السادسة من العمر يتحسن أداؤه في المدرسة ويصبح أكثر تفاؤلاً ونجاحاً من نظرائه الذين لا تتم معاملتهم بهذه الطريقة.,ضرب,عمل عدائي، اللطم والصفع وما شابه,aljazeera
من ضرب امرأته عمدًا قُضي عليه بما جرى من حق، وهو يختلف باختلاف البلدان.,ضرب,صدَمَه وخبَطَه,aljazeera
وكان التسونامي ضرب فجأة مساء السبت سواحل مضيق سوندا الذي يفصل بين جزيرتي سومطرة وجاوة. وأدت الكارثة إلى سقوط 281 قتيلا وأكثر من ألف جريح إلى جانب 57 مفقودا حسب حصيلة جديدة يتوقع أن ترتفع.,ضرب,ضَرَبَ الأمرُ البلادَ ونحوها: أَثَّرَ عليها سلبا,afp
حضري المائدة لقد طاب الطعام والضيوف منتظرون من وقت طويل...,طاب,طَابَ الطعامُ: صار لذيذا، نضِج.,lexicon.alsharekh
أسلم عمر وطاب قلبه بعد أن كان أشد الناس عداءًا وكراهية للإسلام...,طاب,طَابَ قلبُ فلانٍ: خلص من الضغينة.,lexicon.alsharekh
ثُمَّ أُثِيبُهُ حَتَّى يَرْضَى قَالَ: الْآنَ طَابَتْ نَفْسِي,طاب,طَابَت نفسُ فلانٍ: أصبح راضيا.,almaany
و سُئل عن السُّكْر فقال: إِذا طاشت رِجْلاه و اختلطَ كلامُه,طاش,خفّ أو طاف  على سطح الماء,Qamus Inour
إِنَّ الشخص إِذَا طَاشَ فُقِدَتِ الْحُرَقَةُ,طاش,عقله: جهل وأخطأ، نزق,almaany
من تفكر في عظمة الله عز وجل، طاش عقله؛ لأنه يحتاج أن يثبت موجودًا لا أول لوجوده، وهذا شيء لا يعرفه الحس؛ وإنما يقر به العقل ضرورة، وهو متحير بعد هذا الإقرار، ثم يرى من أفعاله ما يدل على وجوده، فلا يخفى وجوده.,طاش,خفَّ وذهبَ,shamela
أكدت وزارة الخارجية الأميركية أن واشنطن لن تطبّع علاقاتها مع نظام الرئيس بشار الأسد في سوريا، في ظل غياب تقدم حقيقي لحل سياسي,طبع,طَبَّعَ فلانٌ العلاقاتِ: جعَلها طبيعية عادية‏.,aljazeera
من طبع قلبه على القسوة والأنانية لا تضيره دموع المساكين والجوعى...,طبع,طَبَّعَ فلانٌ فلانًا على كذا: عوَّده عليه‏.,lexicon.alsharekh
بداية يجب علينا أن نتشبع بفكرة تقول: إن تغيير العادات أمر ممكن، على خلاف ما هو شائع بين الناس من أن الطبع تحت الروح، ولا يزول إلا بخروج الروح,طبع,"سجية, خُلُق أو عدم التكلف‏.",aljazeera
أكد مظهر محمد صالح مستشار رئيس الوزراء العراقي أن الخيارات لمواجهة الوضع المالي تتجه صوب ضغط النفقات، وأن موضوع طبع العملة مجرد مقترح لا ينسجم مع قانون البنك المركزي الذي يؤكد أن طبع الأوراق النقدية إجراء روتيني فني يمارسه البنك وفق متطلبات التداول النقدي، كما أن عملية الطبع منفصلة تماما عن عملية الإصدار النقدي.,طبع,نَسْخ,aljazeera
طبع علامة تجارية لمنتج على منتج آخر يعد تزويرًا وغشًّا للمستهلك,طبع,خَتْم، وضْع علامة مميزة‏,lexicon.alsharekh
يلعب النظام على شريحة في قلب الهواتف الذكية دوراً حاسماً في رفع مستوى الأداء والكفاءة إلى مستوياتٍ غير مسبوقة. وتم بناء منظومة هواتف «ميت 20» وفق المعيار 7nm، وتم تعزيزها بـ 6.9 مليارات ترانزستور ضمن شريحة لا تتجاوز مساحتها ظفر الإصبع.,ظفر,مادة صلبة تغطي بنان أصابع أيدي وأقدام الإنسان والحيوان,albayan
مثلما صنع الفراعنة التماثيل تكريماً وتخليداً لذكرى من يقدرونهم، ولأمور أخرى تتعلق بمعتقداتهم الدينية وإيمانهم بالبعث وغير ذلك، ظفر شكسبير بعدد من هذه التماثيل والمشغولات، ويشارك متحف الأرميتاج الروسي - أكبر متاحف العالم بمدينة الفن في سان بطرسبرج - بعمل نسخ طبق الأصل من التماثيل والعملات والميداليات الخاصة بشكسبير مرفق بها قصة كل منها لعرضها في مقرهم الرئيس والخروج بها أيضاً في جولة في فروعه بأمستردام ولندن ولاس فيجاس وفيرارا بإيطاليا وبرشلونة وغيرها.,ظفر,فاز به وناله,alarabi
لا يعد تشخيص ظفر العين أمراً صعباً، إذ يقوم الطبيب بإجراء فحص بدني باستخدام مصباح مخصص يساعد الطبيب على رؤية العين بشكل مكبر و بإضاءة ساطعة.,ظفر,زائدة لحمية في العين,Altibbi
اَلَّذِي لاَ تَغْشَاهُ اَلظُّلَمُ وَ لاَ يَسْتَضِيءُ بِالْأَنْوَارِ وَ لاَ يَرْهَقُهُ لَيْلٌ وَ لاَ يَجْرِي عَلَيْهِ نَهَارٌ لَيْسَ إِدْرَاكُهُ بِالْإِبْصَارِ وَ لاَ عِلْمُهُ بِالْإِخْبَارِ,ظلم,ثَلاثُ‌ لَيَالٍ‌ من لَيَالي الشَّهْرِ؛سُمِّيَتْ‌ لإِظْلاَمِها,Qamus Inour
نظر إلى الأسنان فرأى الظلم,ظلم,ماء الأسنان وبريقها,Shia Online Library
"وجاء في المصدر ""الجمهور الكتالوني يؤكد ان حياة لاعبي البرسا كانت في خطر بسبب تهديد الجيش لهم بأوامر من فرانكو الديكتاتور الحاكم وقتها، كما يروون التفاصيل حول ظلم تحكيمي كبير تعرضوا لهم خصوصا في موضوع التسلل.",ظلم,جَوْر، عكس عدل,arabia weather
لكنه عاد وتوقع أن الواقع سيتغير وأن حالة الإدمان ستقل مع الزمن، قائلًا “كل جيل أكثر ذكاءً من الذي سبقه، وسيتعلم الناس استخدام الهواتف الذكية بكفاءة أكبر”، مؤكدًا أن “البشر يحققون دائماً تقدماً في نهاية المطاف، عاجلاً أم آجلاً”.,عاد,رَجَعَ,arabia weather
في اليوم التالي، عاد الطبيب المريض وعمت السعادة والارتياح بين العائلة والأصدقاء الذين انتظروا عودته بفارغ الصبر ليطمئنوا.,عاد,زُزاره للسؤال والمواساة أو للعلاج,gpt
لم يُحسم الأمر في تحديد النطاق الجغرافي الذي عاش به قوم عاد حتى الآن، حيث تُشير النصوص القرآنية إلى المكان الذي أنذر فيه النبي هود قومه، وهو الأحقاف، مما يجعل جميع أحقاف العالم العربي خيارات محتملة، مثل التي في مصر وشمال ووسط وجنوب شبه الجزيرة العربية وغيرها ما بين صحراء النفود الكبير شرقًا حتى دلتا النيل غربًا.,عاد,قوم ذُكروا في القرآن بأنهم طغوا على نبي الله هود، فأهلكهم الله بريح صرصر عاتية.,wikipedia
ويقول لوبيز-أوردياليز: ‘‘إن الأمر يشبه مشاهدة عرض دعائي لأحد الأفلام الجديدة، أو ربما مشاهدة فيلم بأكمله. وهذا يمثل فارقا كبيرا بين أي مركبة فضاء وذلك المنطاد‘‘.,عرض,إظهار عرضًا فنيًا أو مرئيًا,bbc arabia
كما أن الراية في عهد الملك عبد العزيز مستطيلة الشكل وعرضها يساوي ثلثي طولها بينما لونها أخضر يمتد من السارية إلى نهاية الراية، ويراها الخصوم من بعيد ويدق في قلوبهم الرعب، تتوسطها الشهادتان بالإضافة إلى سيف مسلول فيما رسمت الشهادتان والسيف باللون الأبيض وسط مساحته,عرض,خلاف الطول,arabia weather
الغثيان أو الشعور بالغثيان على معدتك هو عرض أقل شيوعًا لكنه ممكن من النوبات القلبية، وذلك يعود إلى تأثير النوبة القلبية على جهاز الهضم والعصبي المركزي.,عرض,ما يطرأ ويزول من مرض ونحوِهِ,RD + GPT
التجارية العقارية تُتم توقيع عقد التجديد السنوي للتسهيلات الإئتمانية مع أحد البنوك الإسلامية المحلية بقيمة 39.2 مليون د.ك,عقد,اتفاق بين طرفين يلتزم بمقتضاه كل منهما تنفيذ ما اتففا عليه,argaam
"من جهته قال هرفوي تكالسيتش ، الجيوفيزيائي في الجامعة الوطنية الأسترالية ، الذي لم يشارك في الدراسة، إن ""النواة الداخلية لا تتوقف تماما، ونتائج الدراسة تعني أن اللب الداخلي أصبح الآن أكثر تزامنا مع بقية الكوكب مما كان عليه قبل عقد من الزمان عندما كان يدور بشكل أسرع قليلا"".",عقد,فترة زمنية معينة,arabia weather
وقالت المصادر إن رئيس مجلس حكم الميليشيات مهدي المشاط، عقد اجتماعا سريا قبل أيام في ضم أبرز القيادات الأمنية الموالية للجماعة وطلب منهم «الضرب بيد من حديد» وتوسيع دائرة القمع بحق الناشطين والمناهضين للجماعة، بخاصة في أوساط المنتمين إلى حزب «المؤتمر الشعبي».,عقد,القومُ اجتماعا: اجتمعوا في مكان معين وبحثوا موضوعا ما.,aawsat
كيف تختارين شكل العقد الأمثل حسب ياقة ملابسك؟,عقد,مجموعة من الخيوط أو الأشرطة أو الحبال التي تتشابك بشكل معين لتشكل شكلًا محددًا يستخدم كزينة على الرقبة,fustany
وكانت عاقلة مضحّية، فحين خرج أبوها مهاجراً بصحبة النبي صلى الله عليه وسلم حمل معه ماله كله، ومقداره (6000) درهم، ولم يترك لعياله شيئاً، فلما علم والده أبو قحافة برحيله وكان لا يزال مشركاً، وكان كفيف البصر جاء إلى بيته وقال: ‘‘والله إني لأراه فجعكم بماله بعد أن فجعكم بنفسه‘‘، فقالت: ‘‘كلا يا أبتِ، إنه قد ترك لنا مالاً‘‘.,علم,عرفه، ودرى به,islam way
ثم تكشف ذروة الفيلم المحتوى الحقيقي لهذا الطعام المعالج، الذي كان يتكون في الأساس من جثث بشرية، دون علم الجماهير بذلك.,علم,معرفة، ودراية,bbc arabia
" يعتقد الكثير أن الطائر المُتواجد على العلم المصري هو النسر ، لكنه في الحقيقة ""العقاب النساري""",علم,راية، ولواء,arabia weather
طوّر العرب والقبائل البدوية في المنطقة علم الفلك الشعبي والحسابات الفلكية المتعددة لارتباطها بشؤون حياتهم المعتمدة كلياً على الطقس والمناخ والنشاطات الجوية.,علم,مجموعة من المعارف والمعلومات المنظمة التي تشمل الدراسة والبحث والتطوير في مجال معين,arabia weather
عيّد الناس بفرح وبهجة احتفالاً بالنصر الذي تحقق في الحرب العالمية الثانية، حيث انتشرت الابتسامات على وجوههم وانفتحت القلوب على أمل في بداية فترة سلام مستدامة.,عيد,يحتفلون بها و يؤدّون مراسمها,gpt
اختلاط الرجال بالنساء في صلاة العيد يثير الجدل مجدداً في مصر.. نائبة بالبرلمان تتقدم بطلب إحاطة لوزير الأوقاف,عيد,يوم فرحة يُحتفَل فيه بذكرى شيء ما.,arabic post
الشيخ عيد أبو جرير شيخ مشايخ قبيلة السواركه هو المؤسس الأول للصوفية في سيناء، وهو يعتبر الأب الروحي للطرق الصوفية في سيناء,عيد, اسم علم شخصي يستخدم للذكور,wikipedia
التدخين، الذي يعد ثاني أهم سبب من أسباب تجاعيد العين بعد عامل التقدم في العمر، يعرض التدخين البشرة إلى الجذور الحرة التي تسبب ظهور التجاعيد، مما يضر بالكولاجين والإيلاستين.,عين,عضو الإبصار للإنسان وغيره من الحيوان,Altibbi
 تُفيد الأنباء الواردة من ولاية السويق بحدوث ارتفاعات كبير في منسوب المياه نتيجة الأمطار الغزيرة المتواصلة  على الولاية منذ ساعات، بالتزامن مع عبور عين الإعصار شاهين لأجواء المنطقة. ,عين,منطقة مركز دوران الإعصار,arabia weather
"اتجه شرقاً لمسافة 6 كم حتى تصل إلى عين الديسة ""نبع جبل الديسة"" مروراً بالمنازل والمزارع المجاورة له"" ",عين,ينبوع الماء ينبع من الأرض ويجري,arabia weather
"لدخول الإسلام إلى غرب أفريقيا قصة طويلة جمعت بين الفتوحات العسكرية والتجارة والتصوف، إذ أسهم القادمون من الشمال الأفريقي من عرب وأمازيغ طيلة قرون طويلة في نشر الإسلام هناك ضمن عملية بطيئة، لم يُخطَّط لها مثل الفتوحات الأولى، ولكنها رغم ذلك أحدثت تغييرا جذريا في صفوف تلك الشعوب الوثنية بمناطق ""صونغاي"" و""تمبكتو"" و""غانه"" و""فولو"" و""كوكو"" وغيرها من المناطق التي تقع اليوم في النيجر ومالي وموريتانيا والسنغال بالصحراء الكبرى، وحتى غانا ونيجيريا على سواحل الأطلنطي الجنوبية.",غرب,جهة غروب الشمس,aljazeera
تسبب إعلان الصين وجزر سليمان توقيع اتفاقية أمنية في زلزال جيوسياسي تردد صداه في أمريكا وأستراليا ونيوزيلندا وباقي العواصم الغربية، لتتحول الجزر إلى نقطة صدام لم تكن متوقعة في إطار صراع القوى العظمى بين الصين والغرب.,غرب,البلدان الغربيَّة، ويُقصد بها أوربا الغربيَّة والبلدان الأميركيّة,aljazeera
وقد شرّق وغرّب ووصل إلى العولمة قبل الأمريكان. فقد شوهد في جامعة عليكرة الإسلامية بالهند سنة 1971، وفي كلية كانو الجامعية بنيجيريا سنة 1976، وفي جامعة هارفرد ثلاث مرات، أستاذًا زائرًا في كل منها. وكان قبل ذلك قد نال، وهو الأرثوذكسي العربي، دكتوراه في التاريخ الإسلامي من جامعة لندن. فقلبه إذن، صار قابلاً كل صورة، تمامًا كقلب ابن عربي.,غرب,اتَّجه نحو الغرب,alarabi
فقد تحولت حياة راشد وشعره إلى مأساة داخل المأساة الفلسطينية، فكان ابن لحظة الاستفاقة من غيبوبة حرب النكبة، وأب الشعر الفلسطيني من دون أن يدري. أب لأبناء كثيرين من دون أبوة شرعية، وموت غريب لف حياة الفلسطيني الغريب الذي غرّبته النكبة، وشعر يحمل تردد البدايات وهفواتها وجمالياتها كافة.,غرب,أبعده ونفاه.,palestine studies
بدوره، ذكر مدير ثانوية يعقوب يوسف الغنيم، أحمد العازمي أن المدرسة استعدت كعادتها لاستقبال الاختبارات من خلال تهيئة الأجواء المناسبة للطلاب وتوفير نظام الاختبار المريح ومتابعة كل ما يتعلق بالصيانة وعوامل الأمن والسلامة وتعميم لوائح الغش قبل البدء بالاختبار، معبرا عن ارتياحه لعدم وجود حالات غياب بين الطلاب في اختبار اليوم إضافة إلى أن المدرسة لم تسجل أي حالة غش في اليوم الأول للاختبارات، متمنيا التوفيق والنجاح لجميع الطلبة في اختباراتهم.,غش,غِشّ في الامتحان: الاستعانة بالغير في الإجابة.,alanba
هناك بعض الباعة الذين يقومون بغش الأسماك، فيكف يفعلون ذلك؟ وكيف نشتري السمك؟ ومن أساليب غش الأسماك التالي: خلط الأسماك الفاسدة مع أخرى طازجة.,غش,خلط الشيء بما هو أرخص منه,aljazeera
غشّ القلوب يظهر فى فلتات الألسن و صفحات الوجوه,غش,خداع وتدليس,qamus
حزب المرأة مستعد أن يتعرى سواء التعري بمفهومة اللغوي أو التعري بالألفاظ الخادشة أو بالملابس المخزية لأنها عصرية، أيضاً يزعم أنها حرية أصيلة له في التعري وأنه واجب على الرجل غض البصر والسمع!,غض,صرْفه عنه,aljazeera
أطفالنا نباتٌ غضّ ينمو بقدر ما نغرسه ونهتم به…,غض,طري وناضر,lexicon.alsharekh
"لكن لا أذكر أن أحدا وصفنا بأننا ""أمة واغضض من صوتك"" التي لا تعرف الهدوء، مع أن هذه الوصية اللقمانية الحكيمة لم تكتف بالحثّ على غض الصوت فحسب، بل اقترنت دون أخواتها من الوصايا بتشنيع قبيح، فمن لا يمتثل لآداب الغض من الصوت -وفقا للآية- ليس سوى متشبه بالحمير!",غض,خفْضه.,aljazeera
أثنى المتحدث باسم الخارجية الأميركية نيد برايس على الشراكة الأميركية مع قطر، معتبرا أنها شريك لا غنى عنه.,غنى,كفاية واستغناء.,aljazeera
قد بات الوطن ورقة رابحة في يد الأغنياء، يفعلون بها ما يشاؤون ويزدادون بها غنى، وفي المقابل أصبحت الوطنية ورقة خاسرة في يد الفقراء،,غنى,ثراء وكثرة المال.,aljazeera
زلزال بيروت.. حسين الجسمي غنى للبنان  أكبر من هزة أرضية وأقل من قنبلة نووية، ضربت ميناء بيروت بانفجار مستودعات لحفظ مواد خطرة، كانت كافية لإزالتها عن الخريطة لولا لطف الله، ثم ابتلاع البحر العصف الأكبر، الذي شعرت بارتداداته قبرص والأردن,غنى,ترنَّم بالكلام,aljazeera
